Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
55,Lucas Bergvall,se SWE,MF,Tottenham,19-095,2006,27,11,1212.0,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches,Lucas
470,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-325,1999,12,1,236.0,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,Matches,Luis
133,Luis Díaz,co COL,FW,Liverpool,28-115,1997,33,26,2225.0,24.7,12,5,17,12,0,0,2,0,10.0,10.0,4.9,14.9,103,103,269,0.49,0.20,0.69,0.49,0.69,0.40,0.20,0.60,0.40,0.60,Matches,Luis
217,Luis Guilherme,br BRA,"MF,FW",West Ham,19-088,2006,11,1,138.0,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,3,13,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches,Luis
503,Luke Thomas,eng ENG,DF,Leicester City,23-332,2001,11,10,873.0,9.7,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.6,3,30,13,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,Matches,Luke
560,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-199,1998,15,12,1187.0,13.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Luke
464,Luke Shaw,eng ENG,DF,Manchester Utd,29-300,1995,5,2,218.0,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,6,18,7,0.00,0.00,0.00,0.00,0.00,0.01,0.29,0.31,0.01,0.31,Matches,Luke
438,Mads Roerslev,dk DEN,DF,Brentford,25-318,1999,19,11,1101.0,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches,Mads
235,Mads Hermansen,dk DEN,GK,Leicester City,24-301,2000,27,27,2385.0,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Mads
221,Malo Gusto,fr FRA,DF,Chelsea,21-354,2003,29,19,1832.0,20.4,0,1,1,0,0,0,4,0,1.7,1.7,1.3,3.0,49,119,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches,Malo
