Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Orel Mangala,be BEL,Everton,27-053,19,14,1261.0,1,0.07,1,0.07,0,0.0,0,0.0,2,0,1.1,6,19,37.5,0.43,0.06,22.1,437,219,187,23,437,219,187,23,437,219,187,23,437,219,187,23,89.2,90.5,94.9,76.7,89.2,90.5,94.9,76.7,89.2,90.5,94.9,76.7,89.2,90.5,94.9,76.7,6998,24,1.72,1,0.07,16,5,16,5,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,1574,3,6,12,12,406,24,17,2,6,49,6,8,42.9,
Pape Matar Sarr,sn SEN,Tottenham,22-238,33,19,1726.0,3,0.16,3,0.16,2,0.1,2,0.1,6,0,3.3,32,50,40.6,0.68,0.09,21.8,856,447,333,44,856,447,333,44,856,447,333,44,856,447,333,44,86.8,90.7,90.0,73.3,86.8,90.7,90.0,73.3,86.8,90.7,90.0,73.3,86.8,90.7,90.0,73.3,13113,42,2.19,6,0.31,44,11,44,11,32,23,12,23,9,14,26,1189,38,249,669,291,26,28,39.3,50.0,745,4378,5,35,27,21,838,31,34,2,14,108,28,40,41.2,
Pau Torres,es ESP,Aston Villa,28-114,21,21,1819.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.5,33,4,25.0,0.1,0.00,11.7,1079,461,535,69,1079,461,535,69,1079,461,535,69,1079,461,535,69,88.7,94.9,93.4,53.1,88.7,94.9,93.4,53.1,88.7,94.9,93.4,53.1,88.7,94.9,93.4,53.1,18849,12,0.59,2,0.1,20,9,20,9,14,15,6,14,10,4,9,1349,218,654,622,79,16,17,88.2,11.8,839,5524,0,20,4,4,963,8,7,0,1,54,16,26,38.1,
Paul Onuachu,ng NGA,Southampton,30-347,24,11,1029.0,4,0.35,4,0.35,1,0.09,1,0.09,4,0,3.6,7,40,44.1,1.31,0.12,10.4,156,83,42,12,156,83,42,12,156,83,42,12,156,83,42,12,60.7,62.9,62.7,63.2,60.7,62.9,62.7,63.2,60.7,62.9,62.7,63.2,60.7,62.9,62.7,63.2,2219,9,0.79,1,0.09,7,3,7,3,2,7,4,7,2,5,1,428,17,43,228,160,66,25,28.0,56.0,208,829,2,5,49,33,349,28,16,9,0,17,90,56,61.6,
Pedro Porro,es ESP,Tottenham,25-239,31,26,2463.0,2,0.07,2,0.07,6,0.22,6,0.22,4,0,1.5,63,106,21.6,0.29,0.05,23.1,1324,651,512,133,1324,651,512,133,1324,651,512,133,1324,651,512,133,73.5,87.5,79.3,44.2,73.5,87.5,79.3,44.2,73.5,87.5,79.3,44.2,73.5,87.5,79.3,44.2,23083,104,3.8,8,0.29,63,42,63,42,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,5141,5,40,23,17,1229,24,30,1,191,148,11,22,33.3,
Pedro Neto,pt POR,Chelsea,25-062,32,21,2013.0,4,0.18,4,0.18,5,0.22,5,0.22,8,0,2.9,118,229,29.6,0.72,0.07,18.8,632,314,238,56,632,314,238,56,632,314,238,56,632,314,238,56,78.6,92.9,81.5,47.9,78.6,92.9,81.5,47.9,78.6,92.9,81.5,47.9,78.6,92.9,81.5,47.9,10311,85,3.8,8,0.36,22,8,22,8,9,19,11,13,2,11,9,1034,12,92,302,657,108,92,32.6,43.5,672,5643,42,52,40,25,753,19,29,3,133,71,10,26,27.8,
Pervis Estupiñán,ec ECU,Brighton,27-109,28,24,2222.0,1,0.04,1,0.04,1,0.04,1,0.04,5,0,1.1,55,107,30.4,0.28,0.04,24.5,1245,734,413,72,1245,734,413,72,1245,734,413,72,1245,734,413,72,83.3,93.5,83.3,49.0,83.3,93.5,83.3,49.0,83.3,93.5,83.3,49.0,83.3,93.5,83.3,49.0,18925,52,2.11,4,0.16,58,31,58,31,39,46,15,16,2,14,34,1766,72,439,878,467,31,30,53.3,43.3,944,4502,9,55,31,27,1070,33,17,3,114,136,43,26,62.3,
Phil Foden,eng ENG,Manchester City,24-347,26,19,1693.0,7,0.37,7,0.37,2,0.11,2,0.11,2,0,5.1,47,119,30.8,0.85,0.13,18.5,743,444,224,62,743,444,224,62,743,444,224,62,743,444,224,62,84.0,90.6,89.2,59.6,84.0,90.6,89.2,59.6,84.0,90.6,89.2,59.6,84.0,90.6,89.2,59.6,11571,84,4.47,9,0.48,12,7,12,7,5,17,10,12,1,11,9,1076,13,81,375,629,79,39,33.3,53.8,677,3477,15,30,35,30,842,5,32,3,73,59,3,8,27.3,
Radu Drăgușin,ro ROU,Tottenham,23-096,16,14,1252.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.1,7,2,20.0,0.07,0.00,12.7,716,223,437,47,716,223,437,47,716,223,437,47,716,223,437,47,85.2,91.0,93.0,43.9,85.2,91.0,93.0,43.9,85.2,91.0,93.0,43.9,85.2,91.0,93.0,43.9,13638,8,0.58,1,0.07,10,6,10,6,6,12,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,3349,0,3,8,2,669,6,10,0,1,48,33,22,60.0,
Rasmus Højlund,dk DEN,Manchester Utd,22-095,29,20,1744.0,4,0.21,4,0.21,0,0.0,0,0.0,2,0,3.8,26,83,40.0,0.52,0.16,12.8,224,160,38,4,224,160,38,4,224,160,38,4,224,160,38,4,76.7,82.9,71.7,80.0,76.7,82.9,71.7,80.0,76.7,82.9,71.7,80.0,76.7,82.9,71.7,80.0,2426,30,1.55,1,0.05,3,0,3,0,1,4,4,5,0,5,1,447,6,31,223,201,58,29,31.0,62.1,275,1376,16,13,57,27,352,15,26,11,6,30,23,82,21.9,
