Statistic,Scope,Value
Std of Passes Completed.1,Brighton,208.0400885924116
Median of Passes Completed.1,Chelsea,229.5
Mean of Passes Completed.1,Chelsea,297.4166666666667
Std of Passes Completed.1,Chelsea,255.40197075720982
Median of Passes Completed.1,Crystal Palace,208.0
Mean of Passes Completed.1,Crystal Palace,227.38095238095238
Std of Passes Completed.1,Crystal Palace,171.45071483971017
Median of Passes Completed.1,Everton,216.0
Mean of Passes Completed.1,Everton,215.52380952380952
Std of Passes Completed.1,Everton,144.5668077560057
Median of Passes Completed.1,Fulham,256.5
Mean of Passes Completed.1,Fulham,302.85
Std of Passes Completed.1,Fulham,218.8761425771975
Median of Passes Completed.1,Ipswich Town,118.0
Mean of Passes Completed.1,Ipswich Town,158.13793103448276
Std of Passes Completed.1,Ipswich Town,140.32302635041026
Median of Passes Completed.1,Leicester City,216.0
Mean of Passes Completed.1,Leicester City,242.8
Std of Passes Completed.1,Leicester City,181.42973846643775
Median of Passes Completed.1,Liverpool,271.0
Mean of Passes Completed.1,Liverpool,382.5238095238095
Std of Passes Completed.1,Liverpool,285.6437674880408
Median of Passes Completed.1,Manchester City,367.0
Mean of Passes Completed.1,Manchester City,408.24
Std of Passes Completed.1,Manchester City,297.52902939601256
Median of Passes Completed.1,Manchester Utd,190.5
Mean of Passes Completed.1,Manchester Utd,252.6
Std of Passes Completed.1,Manchester Utd,223.1009667825542
Median of Passes Completed.1,Newcastle Utd,267.0
Mean of Passes Completed.1,Newcastle Utd,297.30434782608694
Std of Passes Completed.1,Newcastle Utd,248.12193387757205
Median of Passes Completed.1,Nott'ham Forest,184.0
Mean of Passes Completed.1,Nott'ham Forest,226.8095238095238
Std of Passes Completed.1,Nott'ham Forest,177.65348829888453
Median of Passes Completed.1,Southampton,153.0
Mean of Passes Completed.1,Southampton,234.6206896551724
Std of Passes Completed.1,Southampton,214.85965748318853
Median of Passes Completed.1,Tottenham,267.0
Mean of Passes Completed.1,Tottenham,268.18518518518516
Std of Passes Completed.1,Tottenham,185.2924999596868
Median of Passes Completed.1,West Ham,201.0
Mean of Passes Completed.1,West Ham,249.44
Std of Passes Completed.1,West Ham,200.25256552663686
Median of Passes Completed.1,Wolves,167.0
Mean of Passes Completed.1,Wolves,265.17391304347825
Std of Passes Completed.1,Wolves,232.0238334493626
Median of Passes Completed.2,all,180.0
Mean of Passes Completed.2,all,241.03726708074535
Std of Passes Completed.2,all,227.86688682289488
Median of Passes Completed.2,Arsenal,177.0
Mean of Passes Completed.2,Arsenal,301.40909090909093
Std of Passes Completed.2,Arsenal,290.8862744704959
Median of Passes Completed.2,Aston Villa,138.0
Mean of Passes Completed.2,Aston Villa,226.14814814814815
Std of Passes Completed.2,Aston Villa,213.0793827704205
Median of Passes Completed.2,Bournemouth,178.0
Mean of Passes Completed.2,Bournemouth,221.0
Std of Passes Completed.2,Bournemouth,207.46960346912596
Median of Passes Completed.2,Brentford,192.0
Mean of Passes Completed.2,Brentford,253.52380952380952
Std of Passes Completed.2,Brentford,233.96829252008038
Median of Passes Completed.2,Brighton,129.0
Mean of Passes Completed.2,Brighton,227.53846153846155
Std of Passes Completed.2,Brighton,254.18374940491074
Median of Passes Completed.2,Chelsea,179.0
Mean of Passes Completed.2,Chelsea,305.1666666666667
Std of Passes Completed.2,Chelsea,312.822587123265
Median of Passes Completed.2,Crystal Palace,213.0
Mean of Passes Completed.2,Crystal Palace,231.8095238095238
Std of Passes Completed.2,Crystal Palace,203.8775659673273
Median of Passes Completed.2,Everton,179.0
Mean of Passes Completed.2,Everton,197.0
Std of Passes Completed.2,Everton,159.45657716130748
Median of Passes Completed.2,Fulham,243.0
Mean of Passes Completed.2,Fulham,289.25
Std of Passes Completed.2,Fulham,241.31261118265135
Median of Passes Completed.2,Ipswich Town,101.0
Mean of Passes Completed.2,Ipswich Town,158.27586206896552
Std of Passes Completed.2,Ipswich Town,152.2945680842895
Median of Passes Completed.2,Leicester City,153.0
Mean of Passes Completed.2,Leicester City,210.72
Std of Passes Completed.2,Leicester City,179.02083677605802
Median of Passes Completed.2,Liverpool,239.0
Mean of Passes Completed.2,Liverpool,345.4761904761905
Std of Passes Completed.2,Liverpool,312.8016334752137
Median of Passes Completed.2,Manchester City,224.0
Mean of Passes Completed.2,Manchester City,327.8
Std of Passes Completed.2,Manchester City,278.0899135171932
Median of Passes Completed.2,Manchester Utd,96.0
Mean of Passes Completed.2,Manchester Utd,207.5
Std of Passes Completed.2,Manchester Utd,214.92336244377418
Median of Passes Completed.2,Newcastle Utd,161.0
Mean of Passes Completed.2,Newcastle Utd,259.82608695652175
Std of Passes Completed.2,Newcastle Utd,257.39404742956646
Median of Passes Completed.2,Nott'ham Forest,127.0
Mean of Passes Completed.2,Nott'ham Forest,169.04761904761904
Std of Passes Completed.2,Nott'ham Forest,144.1417622309635
Median of Passes Completed.2,Southampton,119.0
Mean of Passes Completed.2,Southampton,215.68965517241378
Std of Passes Completed.2,Southampton,239.2688421373205
Median of Passes Completed.2,Tottenham,261.0
Mean of Passes Completed.2,Tottenham,258.3703703703704
Std of Passes Completed.2,Tottenham,184.00044902707504
Median of Passes Completed.2,West Ham,180.0
Mean of Passes Completed.2,West Ham,226.04
Std of Passes Completed.2,West Ham,208.20532333892587
Median of Passes Completed.2,Wolves,208.0
Mean of Passes Completed.2,Wolves,230.69565217391303
Std of Passes Completed.2,Wolves,169.54040408292292
Median of Passes Completed.3,all,29.0
Mean of Passes Completed.3,all,46.62732919254658
Std of Passes Completed.3,all,53.43377099055498
Median of Passes Completed.3,Arsenal,22.5
Mean of Passes Completed.3,Arsenal,43.77272727272727
Std of Passes Completed.3,Arsenal,48.65518307258581
Median of Passes Completed.3,Aston Villa,18.0
Mean of Passes Completed.3,Aston Villa,37.0
Std of Passes Completed.3,Aston Villa,52.06948020895512
Median of Passes Completed.3,Bournemouth,29.0
Mean of Passes Completed.3,Bournemouth,54.30434782608695
Std of Passes Completed.3,Bournemouth,60.10175824277954
Median of Passes Completed.3,Brentford,44.0
Mean of Passes Completed.3,Brentford,62.61904761904762
Std of Passes Completed.3,Brentford,85.68925031208768
Median of Passes Completed.3,Brighton,29.0
Mean of Passes Completed.3,Brighton,46.73076923076923
Std of Passes Completed.3,Brighton,58.44488527993374
Median of Passes Completed.3,Chelsea,21.5
Mean of Passes Completed.3,Chelsea,52.125
Std of Passes Completed.3,Chelsea,59.03964217223955
Median of Passes Completed.3,Crystal Palace,42.0
Mean of Passes Completed.3,Crystal Palace,49.095238095238095
Std of Passes Completed.3,Crystal Palace,51.322416897399485
Median of Passes Completed.3,Everton,40.0
Mean of Passes Completed.3,Everton,65.38095238095238
Std of Passes Completed.3,Everton,89.06709616377768
Median of Passes Completed.3,Fulham,33.5
Mean of Passes Completed.3,Fulham,56.3
Std of Passes Completed.3,Fulham,53.74315133846798
Median of Passes Completed.3,Ipswich Town,23.0
Mean of Passes Completed.3,Ipswich Town,32.48275862068966
Std of Passes Completed.3,Ipswich Town,34.103435823614156
Median of Passes Completed.3,Leicester City,35.0
Mean of Passes Completed.3,Leicester City,39.04
Std of Passes Completed.3,Leicester City,40.98930754883929
Median of Passes Completed.3,Liverpool,45.0
Mean of Passes Completed.3,Liverpool,61.523809523809526
Std of Passes Completed.3,Liverpool,56.81955565438632
Median of Passes Completed.3,Manchester City,31.0
Mean of Passes Completed.3,Manchester City,46.56
Std of Passes Completed.3,Manchester City,43.1113674104638
Median of Passes Completed.3,Manchester Utd,16.5
Mean of Passes Completed.3,Manchester Utd,37.2
Std of Passes Completed.3,Manchester Utd,48.65104457183869
Median of Passes Completed.3,Newcastle Utd,33.0
Mean of Passes Completed.3,Newcastle Utd,46.95652173913044
Std of Passes Completed.3,Newcastle Utd,49.36273738253617
Median of Passes Completed.3,Nott'ham Forest,28.0
Mean of Passes Completed.3,Nott'ham Forest,44.476190476190474
Std of Passes Completed.3,Nott'ham Forest,60.50753593364966
Median of Passes Completed.3,Southampton,20.0
Mean of Passes Completed.3,Southampton,37.44827586206897
Std of Passes Completed.3,Southampton,52.40473411472925
Median of Passes Completed.3,Tottenham,32.0
Mean of Passes Completed.3,Tottenham,38.0
Std of Passes Completed.3,Tottenham,30.60794265948226
Median of Passes Completed.3,West Ham,43.0
Mean of Passes Completed.3,West Ham,49.8
Std of Passes Completed.3,West Ham,46.93523907115704
Median of Passes Completed.3,Wolves,54.0
Mean of Passes Completed.3,Wolves,49.47826086956522
Std of Passes Completed.3,Wolves,35.126873376399175
Median of Passes Completed.4,all,472.0
Mean of Passes Completed.4,all,566.0393374741201
Std of Passes Completed.4,all,465.69612875937554
Median of Passes Completed.4,Arsenal,468.5
Mean of Passes Completed.4,Arsenal,717.6818181818181
Std of Passes Completed.4,Arsenal,560.3350516698649
Median of Passes Completed.4,Aston Villa,479.0
Mean of Passes Completed.4,Aston Villa,504.85185185185185
Std of Passes Completed.4,Aston Villa,429.33389406450624
Median of Passes Completed.4,Bournemouth,436.0
Mean of Passes Completed.4,Bournemouth,504.7826086956522
Std of Passes Completed.4,Bournemouth,408.761205742617
Median of Passes Completed.4,Brentford,489.0
Mean of Passes Completed.4,Brentford,582.2380952380952
Std of Passes Completed.4,Brentford,445.78513936221617
Median of Passes Completed.4,Brighton,398.5
Mean of Passes Completed.4,Brighton,551.5384615384615
Std of Passes Completed.4,Brighton,490.9256750889471
Median of Passes Completed.4,Chelsea,525.5
Mean of Passes Completed.4,Chelsea,668.0416666666666
Std of Passes Completed.4,Chelsea,606.5196135877773
Median of Passes Completed.4,Crystal Palace,541.0
Mean of Passes Completed.4,Crystal Palace,519.1904761904761
Std of Passes Completed.4,Crystal Palace,395.3220989329611
Median of Passes Completed.4,Everton,437.0
Mean of Passes Completed.4,Everton,487.2857142857143
Std of Passes Completed.4,Everton,341.2653136281422
Median of Passes Completed.4,Fulham,652.0
Mean of Passes Completed.4,Fulham,660.55
Std of Passes Completed.4,Fulham,490.5471139988815
Median of Passes Completed.4,Ipswich Town,241.0
Mean of Passes Completed.4,Ipswich Town,355.7586206896552
Std of Passes Completed.4,Ipswich Town,311.9369962911941
Median of Passes Completed.4,Leicester City,430.0
Mean of Passes Completed.4,Leicester City,505.56
Std of Passes Completed.4,Leicester City,378.13953332951934
Median of Passes Completed.4,Liverpool,681.0
Mean of Passes Completed.4,Liverpool,807.1428571428571
Std of Passes Completed.4,Liverpool,634.1773636542293
Median of Passes Completed.4,Manchester City,676.0
Mean of Passes Completed.4,Manchester City,793.52
Std of Passes Completed.4,Manchester City,591.8990707882552
Median of Passes Completed.4,Manchester Utd,286.0
Mean of Passes Completed.4,Manchester Utd,512.8666666666667
Std of Passes Completed.4,Manchester Utd,464.77074313919644
Median of Passes Completed.4,Newcastle Utd,479.0
Mean of Passes Completed.4,Newcastle Utd,616.8695652173913
Std of Passes Completed.4,Newcastle Utd,528.1400730477601
Median of Passes Completed.4,Nott'ham Forest,472.0
Mean of Passes Completed.4,Nott'ham Forest,458.0952380952381
Std of Passes Completed.4,Nott'ham Forest,345.8939006056488
Median of Passes Completed.4,Southampton,257.0
Mean of Passes Completed.4,Southampton,499.7931034482759
Std of Passes Completed.4,Southampton,481.213523983922
Median of Passes Completed.4,Tottenham,703.0
Mean of Passes Completed.4,Tottenham,581.1111111111111
Std of Passes Completed.4,Tottenham,373.35272385541316
Median of Passes Completed.4,West Ham,517.0
Mean of Passes Completed.4,West Ham,533.44
Std of Passes Completed.4,West Ham,408.43543757449186
Median of Passes Completed.4,Wolves,484.0
Mean of Passes Completed.4,Wolves,563.5652173913044
Std of Passes Completed.4,Wolves,411.40102378523744
Median of Passes Completed.5,all,213.0
Mean of Passes Completed.5,all,265.8840579710145
Std of Passes Completed.5,all,216.69452611888642
Median of Passes Completed.5,Arsenal,277.5
Mean of Passes Completed.5,Arsenal,359.90909090909093
Std of Passes Completed.5,Arsenal,246.83094447721734
Median of Passes Completed.5,Aston Villa,180.0
Mean of Passes Completed.5,Aston Villa,231.96296296296296
Std of Passes Completed.5,Aston Villa,191.410449333259
Median of Passes Completed.5,Bournemouth,176.0
Mean of Passes Completed.5,Bournemouth,217.95652173913044
Std of Passes Completed.5,Bournemouth,177.8907934305533
Median of Passes Completed.5,Brentford,252.0
Mean of Passes Completed.5,Brentford,255.28571428571428
Std of Passes Completed.5,Brentford,186.21228285404348
Median of Passes Completed.5,Brighton,200.5
Mean of Passes Completed.5,Brighton,266.03846153846155
Std of Passes Completed.5,Brighton,208.0400885924116
Median of Passes Completed.5,Chelsea,229.5
Mean of Passes Completed.5,Chelsea,297.4166666666667
Std of Passes Completed.5,Chelsea,255.40197075720982
Median of Passes Completed.5,Crystal Palace,208.0
Mean of Passes Completed.5,Crystal Palace,227.38095238095238
Std of Passes Completed.5,Crystal Palace,171.45071483971017
Median of Passes Completed.5,Everton,216.0
Mean of Passes Completed.5,Everton,215.52380952380952
Std of Passes Completed.5,Everton,144.5668077560057
Median of Passes Completed.5,Fulham,256.5
Mean of Passes Completed.5,Fulham,302.85
Std of Passes Completed.5,Fulham,218.8761425771975
Median of Passes Completed.5,Ipswich Town,118.0
Mean of Passes Completed.5,Ipswich Town,158.13793103448276
Std of Passes Completed.5,Ipswich Town,140.32302635041026
Median of Passes Completed.5,Leicester City,216.0
Mean of Passes Completed.5,Leicester City,242.8
Std of Passes Completed.5,Leicester City,181.42973846643775
Median of Passes Completed.5,Liverpool,271.0
Mean of Passes Completed.5,Liverpool,382.5238095238095
Std of Passes Completed.5,Liverpool,285.6437674880408
Median of Passes Completed.5,Manchester City,367.0
Mean of Passes Completed.5,Manchester City,408.24
Std of Passes Completed.5,Manchester City,297.52902939601256
Median of Passes Completed.5,Manchester Utd,190.5
Mean of Passes Completed.5,Manchester Utd,252.6
Std of Passes Completed.5,Manchester Utd,223.1009667825542
Median of Passes Completed.5,Newcastle Utd,267.0
Mean of Passes Completed.5,Newcastle Utd,297.30434782608694
Std of Passes Completed.5,Newcastle Utd,248.12193387757205
Median of Passes Completed.5,Nott'ham Forest,184.0
Mean of Passes Completed.5,Nott'ham Forest,226.8095238095238
Std of Passes Completed.5,Nott'ham Forest,177.65348829888453
Median of Passes Completed.5,Southampton,153.0
Mean of Passes Completed.5,Southampton,234.6206896551724
Std of Passes Completed.5,Southampton,214.85965748318853
Median of Passes Completed.5,Tottenham,267.0
Mean of Passes Completed.5,Tottenham,268.18518518518516
Std of Passes Completed.5,Tottenham,185.2924999596868
Median of Passes Completed.5,West Ham,201.0
Mean of Passes Completed.5,West Ham,249.44
Std of Passes Completed.5,West Ham,200.25256552663686
Median of Passes Completed.5,Wolves,167.0
Mean of Passes Completed.5,Wolves,265.17391304347825
Std of Passes Completed.5,Wolves,232.0238334493626
Median of Passes Completed.6,all,180.0
Mean of Passes Completed.6,all,241.03726708074535
Std of Passes Completed.6,all,227.86688682289488
Median of Passes Completed.6,Arsenal,177.0
Mean of Passes Completed.6,Arsenal,301.40909090909093
Std of Passes Completed.6,Arsenal,290.8862744704959
Median of Passes Completed.6,Aston Villa,138.0
Mean of Passes Completed.6,Aston Villa,226.14814814814815
Std of Passes Completed.6,Aston Villa,213.0793827704205
Median of Passes Completed.6,Bournemouth,178.0
Mean of Passes Completed.6,Bournemouth,221.0
Std of Passes Completed.6,Bournemouth,207.46960346912596
Median of Passes Completed.6,Brentford,192.0
Mean of Passes Completed.6,Brentford,253.52380952380952
Std of Passes Completed.6,Brentford,233.96829252008038
Median of Passes Completed.6,Brighton,129.0
Mean of Passes Completed.6,Brighton,227.53846153846155
Std of Passes Completed.6,Brighton,254.18374940491074
Median of Passes Completed.6,Chelsea,179.0
Mean of Passes Completed.6,Chelsea,305.1666666666667
Std of Passes Completed.6,Chelsea,312.822587123265
Median of Passes Completed.6,Crystal Palace,213.0
Mean of Passes Completed.6,Crystal Palace,231.8095238095238
Std of Passes Completed.6,Crystal Palace,203.8775659673273
Median of Passes Completed.6,Everton,179.0
Mean of Passes Completed.6,Everton,197.0
Std of Passes Completed.6,Everton,159.45657716130748
Median of Passes Completed.6,Fulham,243.0
Mean of Passes Completed.6,Fulham,289.25
Std of Passes Completed.6,Fulham,241.31261118265135
Median of Passes Completed.6,Ipswich Town,101.0
Mean of Passes Completed.6,Ipswich Town,158.27586206896552
Std of Passes Completed.6,Ipswich Town,152.2945680842895
Median of Passes Completed.6,Leicester City,153.0
Mean of Passes Completed.6,Leicester City,210.72
Std of Passes Completed.6,Leicester City,179.02083677605802
Median of Passes Completed.6,Liverpool,239.0
Mean of Passes Completed.6,Liverpool,345.4761904761905
Std of Passes Completed.6,Liverpool,312.8016334752137
Median of Passes Completed.6,Manchester City,224.0
Mean of Passes Completed.6,Manchester City,327.8
Std of Passes Completed.6,Manchester City,278.0899135171932
Median of Passes Completed.6,Manchester Utd,96.0
Mean of Passes Completed.6,Manchester Utd,207.5
Std of Passes Completed.6,Manchester Utd,214.92336244377418
Median of Passes Completed.6,Newcastle Utd,161.0
Mean of Passes Completed.6,Newcastle Utd,259.82608695652175
Std of Passes Completed.6,Newcastle Utd,257.39404742956646
Median of Passes Completed.6,Nott'ham Forest,127.0
Mean of Passes Completed.6,Nott'ham Forest,169.04761904761904
Std of Passes Completed.6,Nott'ham Forest,144.1417622309635
Median of Passes Completed.6,Southampton,119.0
Mean of Passes Completed.6,Southampton,215.68965517241378
Std of Passes Completed.6,Southampton,239.2688421373205
Median of Passes Completed.6,Tottenham,261.0
Mean of Passes Completed.6,Tottenham,258.3703703703704
Std of Passes Completed.6,Tottenham,184.00044902707504
Median of Passes Completed.6,West Ham,180.0
Mean of Passes Completed.6,West Ham,226.04
Std of Passes Completed.6,West Ham,208.20532333892587
Median of Passes Completed.6,Wolves,208.0
Mean of Passes Completed.6,Wolves,230.69565217391303
Std of Passes Completed.6,Wolves,169.54040408292292
Median of Passes Completed.7,all,29.0
Mean of Passes Completed.7,all,46.62732919254658
Std of Passes Completed.7,all,53.43377099055498
Median of Passes Completed.7,Arsenal,22.5
Mean of Passes Completed.7,Arsenal,43.77272727272727
Std of Passes Completed.7,Arsenal,48.65518307258581
Median of Passes Completed.7,Aston Villa,18.0
Mean of Passes Completed.7,Aston Villa,37.0
Std of Passes Completed.7,Aston Villa,52.06948020895512
Median of Passes Completed.7,Bournemouth,29.0
Mean of Passes Completed.7,Bournemouth,54.30434782608695
Std of Passes Completed.7,Bournemouth,60.10175824277954
Median of Passes Completed.7,Brentford,44.0
Mean of Passes Completed.7,Brentford,62.61904761904762
Std of Passes Completed.7,Brentford,85.68925031208768
Median of Passes Completed.7,Brighton,29.0
Mean of Passes Completed.7,Brighton,46.73076923076923
Std of Passes Completed.7,Brighton,58.44488527993374
Median of Passes Completed.7,Chelsea,21.5
Mean of Passes Completed.7,Chelsea,52.125
Std of Passes Completed.7,Chelsea,59.03964217223955
Median of Passes Completed.7,Crystal Palace,42.0
Mean of Passes Completed.7,Crystal Palace,49.095238095238095
Std of Passes Completed.7,Crystal Palace,51.322416897399485
Median of Passes Completed.7,Everton,40.0
Mean of Passes Completed.7,Everton,65.38095238095238
Std of Passes Completed.7,Everton,89.06709616377768
Median of Passes Completed.7,Fulham,33.5
Mean of Passes Completed.7,Fulham,56.3
Std of Passes Completed.7,Fulham,53.74315133846798
Median of Passes Completed.7,Ipswich Town,23.0
Mean of Passes Completed.7,Ipswich Town,32.48275862068966
Std of Passes Completed.7,Ipswich Town,34.103435823614156
Median of Passes Completed.7,Leicester City,35.0
Mean of Passes Completed.7,Leicester City,39.04
Std of Passes Completed.7,Leicester City,40.98930754883929
Median of Passes Completed.7,Liverpool,45.0
Mean of Passes Completed.7,Liverpool,61.523809523809526
Std of Passes Completed.7,Liverpool,56.81955565438632
Median of Passes Completed.7,Manchester City,31.0
Mean of Passes Completed.7,Manchester City,46.56
Std of Passes Completed.7,Manchester City,43.1113674104638
Median of Passes Completed.7,Manchester Utd,16.5
Mean of Passes Completed.7,Manchester Utd,37.2
Std of Passes Completed.7,Manchester Utd,48.65104457183869
Median of Passes Completed.7,Newcastle Utd,33.0
Mean of Passes Completed.7,Newcastle Utd,46.95652173913044
Std of Passes Completed.7,Newcastle Utd,49.36273738253617
Median of Passes Completed.7,Nott'ham Forest,28.0
Mean of Passes Completed.7,Nott'ham Forest,44.476190476190474
Std of Passes Completed.7,Nott'ham Forest,60.50753593364966
Median of Passes Completed.7,Southampton,20.0
Mean of Passes Completed.7,Southampton,37.44827586206897
Std of Passes Completed.7,Southampton,52.40473411472925
Median of Passes Completed.7,Tottenham,32.0
Mean of Passes Completed.7,Tottenham,38.0
Std of Passes Completed.7,Tottenham,30.60794265948226
Median of Passes Completed.7,West Ham,43.0
Mean of Passes Completed.7,West Ham,49.8
Std of Passes Completed.7,West Ham,46.93523907115704
Median of Passes Completed.7,Wolves,54.0
Mean of Passes Completed.7,Wolves,49.47826086956522
Std of Passes Completed.7,Wolves,35.126873376399175
Median of Passes Completed.8,all,472.0
Mean of Passes Completed.8,all,566.0393374741201
Std of Passes Completed.8,all,465.69612875937554
Median of Passes Completed.8,Arsenal,468.5
Mean of Passes Completed.8,Arsenal,717.6818181818181
Std of Passes Completed.8,Arsenal,560.3350516698649
Median of Passes Completed.8,Aston Villa,479.0
Mean of Passes Completed.8,Aston Villa,504.85185185185185
Std of Passes Completed.8,Aston Villa,429.33389406450624
Median of Passes Completed.8,Bournemouth,436.0
Mean of Passes Completed.8,Bournemouth,504.7826086956522
Std of Passes Completed.8,Bournemouth,408.761205742617
Median of Passes Completed.8,Brentford,489.0
Mean of Passes Completed.8,Brentford,582.2380952380952
Std of Passes Completed.8,Brentford,445.78513936221617
Median of Passes Completed.8,Brighton,398.5
Mean of Passes Completed.8,Brighton,551.5384615384615
Std of Passes Completed.8,Brighton,490.9256750889471
Median of Passes Completed.8,Chelsea,525.5
Mean of Passes Completed.8,Chelsea,668.0416666666666
Std of Passes Completed.8,Chelsea,606.5196135877773
Median of Passes Completed.8,Crystal Palace,541.0
Mean of Passes Completed.8,Crystal Palace,519.1904761904761
Std of Passes Completed.8,Crystal Palace,395.3220989329611
Median of Passes Completed.8,Everton,437.0
Mean of Passes Completed.8,Everton,487.2857142857143
Std of Passes Completed.8,Everton,341.2653136281422
Median of Passes Completed.8,Fulham,652.0
Mean of Passes Completed.8,Fulham,660.55
Std of Passes Completed.8,Fulham,490.5471139988815
Median of Passes Completed.8,Ipswich Town,241.0
Mean of Passes Completed.8,Ipswich Town,355.7586206896552
Std of Passes Completed.8,Ipswich Town,311.9369962911941
Median of Passes Completed.8,Leicester City,430.0
Mean of Passes Completed.8,Leicester City,505.56
Std of Passes Completed.8,Leicester City,378.13953332951934
Median of Passes Completed.8,Liverpool,681.0
Mean of Passes Completed.8,Liverpool,807.1428571428571
Std of Passes Completed.8,Liverpool,634.1773636542293
Median of Passes Completed.8,Manchester City,676.0
Mean of Passes Completed.8,Manchester City,793.52
Std of Passes Completed.8,Manchester City,591.8990707882552
Median of Passes Completed.8,Manchester Utd,286.0
Mean of Passes Completed.8,Manchester Utd,512.8666666666667
Std of Passes Completed.8,Manchester Utd,464.77074313919644
Median of Passes Completed.8,Newcastle Utd,479.0
Mean of Passes Completed.8,Newcastle Utd,616.8695652173913
Std of Passes Completed.8,Newcastle Utd,528.1400730477601
Median of Passes Completed.8,Nott'ham Forest,472.0
Mean of Passes Completed.8,Nott'ham Forest,458.0952380952381
Std of Passes Completed.8,Nott'ham Forest,345.8939006056488
Median of Passes Completed.8,Southampton,257.0
Mean of Passes Completed.8,Southampton,499.7931034482759
Std of Passes Completed.8,Southampton,481.213523983922
Median of Passes Completed.8,Tottenham,703.0
Mean of Passes Completed.8,Tottenham,581.1111111111111
Std of Passes Completed.8,Tottenham,373.35272385541316
Median of Passes Completed.8,West Ham,517.0
Mean of Passes Completed.8,West Ham,533.44
Std of Passes Completed.8,West Ham,408.43543757449186
Median of Passes Completed.8,Wolves,484.0
Mean of Passes Completed.8,Wolves,563.5652173913044
Std of Passes Completed.8,Wolves,411.40102378523744
Median of Passes Completed.9,all,213.0
Mean of Passes Completed.9,all,265.8840579710145
Std of Passes Completed.9,all,216.69452611888642
Median of Passes Completed.9,Arsenal,277.5
Mean of Passes Completed.9,Arsenal,359.90909090909093
Std of Passes Completed.9,Arsenal,246.83094447721734
Median of Passes Completed.9,Aston Villa,180.0
Mean of Passes Completed.9,Aston Villa,231.96296296296296
Std of Passes Completed.9,Aston Villa,191.410449333259
Median of Passes Completed.9,Bournemouth,176.0
Mean of Passes Completed.9,Bournemouth,217.95652173913044
Std of Passes Completed.9,Bournemouth,177.8907934305533
Median of Passes Completed.9,Brentford,252.0
Mean of Passes Completed.9,Brentford,255.28571428571428
Std of Passes Completed.9,Brentford,186.21228285404348
Median of Passes Completed.9,Brighton,200.5
Mean of Passes Completed.9,Brighton,266.03846153846155
Std of Passes Completed.9,Brighton,208.0400885924116
Median of Passes Completed.9,Chelsea,229.5
Mean of Passes Completed.9,Chelsea,297.4166666666667
Std of Passes Completed.9,Chelsea,255.40197075720982
Median of Passes Completed.9,Crystal Palace,208.0
Mean of Passes Completed.9,Crystal Palace,227.38095238095238
Std of Passes Completed.9,Crystal Palace,171.45071483971017
Median of Passes Completed.9,Everton,216.0
Mean of Passes Completed.9,Everton,215.52380952380952
Std of Passes Completed.9,Everton,144.5668077560057
Median of Passes Completed.9,Fulham,256.5
Mean of Passes Completed.9,Fulham,302.85
Std of Passes Completed.9,Fulham,218.8761425771975
Median of Passes Completed.9,Ipswich Town,118.0
Mean of Passes Completed.9,Ipswich Town,158.13793103448276
Std of Passes Completed.9,Ipswich Town,140.32302635041026
Median of Passes Completed.9,Leicester City,216.0
Mean of Passes Completed.9,Leicester City,242.8
Std of Passes Completed.9,Leicester City,181.42973846643775
Median of Passes Completed.9,Liverpool,271.0
Mean of Passes Completed.9,Liverpool,382.5238095238095
Std of Passes Completed.9,Liverpool,285.6437674880408
Median of Passes Completed.9,Manchester City,367.0
Mean of Passes Completed.9,Manchester City,408.24
Std of Passes Completed.9,Manchester City,297.52902939601256
Median of Passes Completed.9,Manchester Utd,190.5
Mean of Passes Completed.9,Manchester Utd,252.6
Std of Passes Completed.9,Manchester Utd,223.1009667825542
Median of Passes Completed.9,Newcastle Utd,267.0
Mean of Passes Completed.9,Newcastle Utd,297.30434782608694
Std of Passes Completed.9,Newcastle Utd,248.12193387757205
Median of Passes Completed.9,Nott'ham Forest,184.0
Mean of Passes Completed.9,Nott'ham Forest,226.8095238095238
Std of Passes Completed.9,Nott'ham Forest,177.65348829888453
Median of Passes Completed.9,Southampton,153.0
Mean of Passes Completed.9,Southampton,234.6206896551724
Std of Passes Completed.9,Southampton,214.85965748318853
Median of Passes Completed.9,Tottenham,267.0
Mean of Passes Completed.9,Tottenham,268.18518518518516
Std of Passes Completed.9,Tottenham,185.2924999596868
Median of Passes Completed.9,West Ham,201.0
Mean of Passes Completed.9,West Ham,249.44
Std of Passes Completed.9,West Ham,200.25256552663686
Median of Passes Completed.9,Wolves,167.0
Mean of Passes Completed.9,Wolves,265.17391304347825
Std of Passes Completed.9,Wolves,232.0238334493626
Median of Passes Completed.10,all,180.0
Mean of Passes Completed.10,all,241.03726708074535
Std of Passes Completed.10,all,227.86688682289488
Median of Passes Completed.10,Arsenal,177.0
Mean of Passes Completed.10,Arsenal,301.40909090909093
Std of Passes Completed.10,Arsenal,290.8862744704959
Median of Passes Completed.10,Aston Villa,138.0
Mean of Passes Completed.10,Aston Villa,226.14814814814815
Std of Passes Completed.10,Aston Villa,213.0793827704205
Median of Passes Completed.10,Bournemouth,178.0
Mean of Passes Completed.10,Bournemouth,221.0
Std of Passes Completed.10,Bournemouth,207.46960346912596
Median of Passes Completed.10,Brentford,192.0
Mean of Passes Completed.10,Brentford,253.52380952380952
Std of Passes Completed.10,Brentford,233.96829252008038
